ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
1,Transient,C,224.44,406.38,5.42,159.0,15.08,37.49,4.75,20.02,3.0
2,Transient,B,235.05,388.57,3.61,262.0,48.88,18.11,3.45,22.79,3.0
3,Transient,A,231.11,384.64,5.21,140.0,87.39,35.61,2.8,20.27,3.0
4,Normal,C,229.83,325.02,1.7,273.0,13.09,45.92,2.04,33.25,0.0
5,Sag,B,147.08,208.01,1.62,200.0,85.81,25.24,2.58,38.53,1.0
6,Transient,A,228.23,397.69,4.55,62.0,62.81,48.44,3.43,25.52,3.0
7,Harmonics,C,232.91,329.39,12.66,298.0,64.54,46.68,3.6,38.3,4.0
8,Normal,C,222.46,314.6,2.55,71.0,39.27,37.83,3.55,37.74,0.0
9,Normal,C,231.63,327.58,1.96,266.0,74.96,15.62,2.02,20.81,0.0
10,Sag,A,150.87,213.36,2.7,105.0,72.6,11.27,3.42,30.8,1.0
11,Harmonics,B,225.96,319.55,8.49,179.0,82.73,33.5,4.49,36.07,4.0
12,Transient,A,234.81,395.81,3.84,240.0,91.61,17.25,3.59,20.01,3.0
13,Harmonics,A,228.2,322.73,2.03,234.0,20.79,20.19,4.77,26.46,4.0
14,Normal,B,231.73,327.71,1.67,61.0,32.22,36.33,3.85,22.96,0.0
15,Normal,A,229.27,324.23,1.78,135.0,23.04,27.03,4.94,24.84,0.0
16,Transient,A,229.58,395.71,3.97,264.0,82.28,26.16,4.93,27.98,3.0
17,Normal,A,230.14,325.47,1.4,268.0,63.18,35.49,1.07,30.24,0.0
18,Swell,A,262.8,371.65,3.23,137.0,56.6,42.7,3.7,34.7,2.0
19,Sag,B,158.14,223.64,1.77,121.0,59.97,28.83,1.97,21.86,1.0
20,Transient,C,235.0,403.05,4.1,217.0,90.74,44.92,4.12,32.84,3.0
21,Swell,B,261.53,369.86,4.35,108.0,97.63,17.78,2.22,29.71,2.0
22,Swell,A,287.89,407.13,2.31,77.0,31.35,19.64,3.99,32.99,2.0
23,Swell,C,276.57,391.12,4.32,31.0,31.96,48.79,2.57,37.84,2.0
24,Swell,A,288.97,408.66,1.56,293.0,70.2,43.89,1.92,29.98,2.0
25,Transient,A,225.76,400.84,4.79,181.0,94.64,47.93,4.66,27.4,3.0
26,Normal,B,229.36,324.37,2.17,190.0,61.51,49.11,1.3,26.11,0.0
27,Normal,A,225.37,318.72,1.74,232.0,85.98,46.85,1.28,24.18,0.0
28,Sag,B,141.45,200.04,1.97,282.0,86.38,11.15,3.84,31.06,1.0
29,Sag,A,155.15,219.42,3.51,22.0,17.34,5.23,3.51,23.89,1.0
30,Transient,B,222.2,440.01,3.2,72.0,98.37,42.75,4.44,25.01,3.0
31,Sag,A,162.01,229.12,2.53,273.0,79.3,14.71,3.49,21.71,1.0
32,Harmonics,C,235.44,332.97,8.88,153.0,97.83,28.23,2.29,35.9,4.0
33,Swell,A,257.09,363.58,2.71,126.0,17.28,24.27,3.75,21.16,2.0
34,Sag,B,148.85,210.51,2.53,127.0,74.31,34.71,2.12,39.1,1.0
35,Harmonics,B,226.73,320.65,6.02,153.0,24.28,10.41,2.37,21.84,4.0
36,Normal,A,239.22,338.31,2.35,263.0,49.05,22.93,3.46,32.7,0.0
37,Sag,A,156.0,220.62,3.0,13.0,65.43,47.48,4.78,37.34,1.0
38,Swell,C,277.56,392.53,4.11,42.0,51.24,29.55,4.77,27.72,2.0
39,Normal,A,235.16,332.57,1.43,21.0,19.07,5.82,1.38,33.66,0.0
40,Normal,B,232.96,329.45,1.42,99.0,40.66,16.73,2.98,33.86,0.0
41,Sag,A,165.7,234.34,3.9,286.0,97.08,29.66,2.69,31.37,1.0
42,Swell,B,273.07,386.18,3.48,105.0,40.67,46.88,4.43,28.58,2.0
43,Harmonics,B,230.59,326.1,7.41,282.0,58.09,27.35,2.56,25.95,4.0
